,image,subject,contrast,hemi,view
0,s03/tstat03_imagine_rest.nii.gz.s03.lh_medial.png,s03,imagine_rest,lh,medial
1,s03/tstat01_turning_rest.nii.gz.s03.rh_medial.png,s03,turning_rest,rh,medial
2,s03/tstat03_imagine_rest.nii.gz.s03.rh_medial.png,s03,imagine_rest,rh,medial
3,s03/tstat01_turning_rest.nii.gz.s03.lh_medial.png,s03,turning_rest,lh,medial
4,s03/tstat01_turning_rest.nii.gz.s03.rh_lateral.png,s03,turning_rest,rh,lateral
5,s03/tstat04_turning_walking.nii.gz.s03.lh_lateral.png,s03,turning_walking,lh,lateral
6,s03/tstat02_walking_rest.nii.gz.s03.rh_lateral.png,s03,walking_rest,rh,lateral
7,s03/tstat02_walking_rest.nii.gz.s03.lh_medial.png,s03,walking_rest,lh,medial
8,s03/tstat02_walking_rest.nii.gz.s03.rh_medial.png,s03,walking_rest,rh,medial
9,s03/tstat03_imagine_rest.nii.gz.s03.lh_lateral.png,s03,imagine_rest,lh,lateral
10,s03/tstat04_turning_walking.nii.gz.s03.rh_lateral.png,s03,turning_walking,rh,lateral
11,s03/tstat01_turning_rest.nii.gz.s03.lh_lateral.png,s03,turning_rest,lh,lateral
12,s03/tstat04_turning_walking.nii.gz.s03.rh_medial.png,s03,turning_walking,rh,medial
13,s03/tstat04_turning_walking.nii.gz.s03.lh_medial.png,s03,turning_walking,lh,medial
14,s03/tstat03_imagine_rest.nii.gz.s03.rh_lateral.png,s03,imagine_rest,rh,lateral
15,s03/tstat02_walking_rest.nii.gz.s03.lh_lateral.png,s03,walking_rest,lh,lateral
16,s03/SMA_imagine_rest.nii.gz.s03.rh_dorsal.png,s03,imagine_rest,rh,dorsal
17,s03/SMA_imagine_rest.nii.gz.s03.lh_dorsal.png,s03,imagine_rest,lh,dorsal
18,s04/tstat01_turning_rest.nii.gz.s04.rh_lateral.png,s04,turning_rest,rh,lateral
19,s04/SMA_imagine_rest.nii.gz.s04.rh_dorsal.png,s04,imagine_rest,rh,dorsal
20,s04/SMA_imagine_rest.nii.gz.s04.lh_dorsal.png,s04,imagine_rest,lh,dorsal
21,s04/tstat03_imagine_rest.nii.gz.s04.lh_medial.png,s04,imagine_rest,lh,medial
22,s04/tstat01_turning_rest.nii.gz.s04.rh_medial.png,s04,turning_rest,rh,medial
23,s04/tstat04_turning_walking.nii.gz.s04.lh_lateral.png,s04,turning_walking,lh,lateral
24,s04/tstat03_imagine_rest.nii.gz.s04.rh_medial.png,s04,imagine_rest,rh,medial
25,s04/tstat01_turning_rest.nii.gz.s04.lh_medial.png,s04,turning_rest,lh,medial
26,s04/tstat02_walking_rest.nii.gz.s04.rh_lateral.png,s04,walking_rest,rh,lateral
27,s04/tstat03_imagine_rest.nii.gz.s04.lh_lateral.png,s04,imagine_rest,lh,lateral
28,s04/tstat02_walking_rest.nii.gz.s04.lh_medial.png,s04,walking_rest,lh,medial
29,s04/tstat02_walking_rest.nii.gz.s04.rh_medial.png,s04,walking_rest,rh,medial
30,s04/tstat01_turning_rest.nii.gz.s04.lh_lateral.png,s04,turning_rest,lh,lateral
31,s04/tstat04_turning_walking.nii.gz.s04.rh_lateral.png,s04,turning_walking,rh,lateral
32,s04/tstat03_imagine_rest.nii.gz.s04.rh_lateral.png,s04,imagine_rest,rh,lateral
33,s04/tstat02_walking_rest.nii.gz.s04.lh_lateral.png,s04,walking_rest,lh,lateral
34,s04/tstat04_turning_walking.nii.gz.s04.lh_medial.png,s04,turning_walking,lh,medial
35,s04/tstat04_turning_walking.nii.gz.s04.rh_medial.png,s04,turning_walking,rh,medial
36,s05/tstat04_turning_walking.nii.gz.s05.rh_lateral.png,s05,turning_walking,rh,lateral
37,s05/tstat03_imagine_rest.nii.gz.s05.lh_lateral.png,s05,imagine_rest,lh,lateral
38,s05/tstat02_walking_rest.nii.gz.s05.rh_lateral.png,s05,walking_rest,rh,lateral
39,s05/tstat01_turning_rest.nii.gz.s05.rh_lateral.png,s05,turning_rest,rh,lateral
40,s05/tstat04_turning_walking.nii.gz.s05.rh_medial.png,s05,turning_walking,rh,medial
41,s05/tstat04_turning_walking.nii.gz.s05.lh_medial.png,s05,turning_walking,lh,medial
42,s05/SMA_imagine_rest.nii.gz.s05.rh_dorsal.png,s05,imagine_rest,rh,dorsal
43,s05/SMA_imagine_rest.nii.gz.s05.lh_dorsal.png,s05,imagine_rest,lh,dorsal
44,s05/tstat03_imagine_rest.nii.gz.s05.lh_medial.png,s05,imagine_rest,lh,medial
45,s05/tstat01_turning_rest.nii.gz.s05.rh_medial.png,s05,turning_rest,rh,medial
46,s05/tstat03_imagine_rest.nii.gz.s05.rh_medial.png,s05,imagine_rest,rh,medial
47,s05/tstat01_turning_rest.nii.gz.s05.lh_medial.png,s05,turning_rest,lh,medial
48,s05/tstat04_turning_walking.nii.gz.s05.lh_lateral.png,s05,turning_walking,lh,lateral
49,s05/tstat02_walking_rest.nii.gz.s05.lh_lateral.png,s05,walking_rest,lh,lateral
50,s05/tstat03_imagine_rest.nii.gz.s05.rh_lateral.png,s05,imagine_rest,rh,lateral
51,s05/tstat02_walking_rest.nii.gz.s05.lh_medial.png,s05,walking_rest,lh,medial
52,s05/tstat02_walking_rest.nii.gz.s05.rh_medial.png,s05,walking_rest,rh,medial
53,s05/tstat01_turning_rest.nii.gz.s05.lh_lateral.png,s05,turning_rest,lh,lateral
54,s07/tstat03_imagine_rest.nii.gz.s07.rh_lateral.png,s07,imagine_rest,rh,lateral
55,s07/tstat01_turning_rest.nii.gz.s07.lh_medial.png,s07,turning_rest,lh,medial
56,s07/tstat03_imagine_rest.nii.gz.s07.rh_medial.png,s07,imagine_rest,rh,medial
57,s07/tstat01_turning_rest.nii.gz.s07.rh_medial.png,s07,turning_rest,rh,medial
58,s07/tstat03_imagine_rest.nii.gz.s07.lh_medial.png,s07,imagine_rest,lh,medial
59,s07/tstat02_walking_rest.nii.gz.s07.lh_lateral.png,s07,walking_rest,lh,lateral
60,s07/tstat04_turning_walking.nii.gz.s07.lh_medial.png,s07,turning_walking,lh,medial
61,s07/tstat04_turning_walking.nii.gz.s07.rh_medial.png,s07,turning_walking,rh,medial
62,s07/tstat04_turning_walking.nii.gz.s07.rh_lateral.png,s07,turning_walking,rh,lateral
63,s07/tstat01_turning_rest.nii.gz.s07.lh_lateral.png,s07,turning_rest,lh,lateral
64,s07/tstat02_walking_rest.nii.gz.s07.rh_medial.png,s07,walking_rest,rh,medial
65,s07/tstat02_walking_rest.nii.gz.s07.lh_medial.png,s07,walking_rest,lh,medial
66,s07/SMA_imagine_rest.nii.gz.s07.rh_dorsal.png,s07,imagine_rest,rh,dorsal
67,s07/SMA_imagine_rest.nii.gz.s07.lh_dorsal.png,s07,imagine_rest,lh,dorsal
68,s07/tstat02_walking_rest.nii.gz.s07.rh_lateral.png,s07,walking_rest,rh,lateral
69,s07/tstat03_imagine_rest.nii.gz.s07.lh_lateral.png,s07,imagine_rest,lh,lateral
70,s07/tstat04_turning_walking.nii.gz.s07.lh_lateral.png,s07,turning_walking,lh,lateral
71,s07/tstat01_turning_rest.nii.gz.s07.rh_lateral.png,s07,turning_rest,rh,lateral
72,s08/tstat03_imagine_rest.nii.gz.s08.lh_lateral.png,s08,imagine_rest,lh,lateral
73,s08/tstat04_turning_walking.nii.gz.s08.lh_lateral.png,s08,turning_walking,lh,lateral
74,s08/tstat02_walking_rest.nii.gz.s08.rh_lateral.png,s08,walking_rest,rh,lateral
75,s08/tstat03_imagine_rest.nii.gz.s08.rh_medial.png,s08,imagine_rest,rh,medial
76,s08/tstat01_turning_rest.nii.gz.s08.lh_medial.png,s08,turning_rest,lh,medial
77,s08/tstat03_imagine_rest.nii.gz.s08.lh_medial.png,s08,imagine_rest,lh,medial
78,s08/tstat01_turning_rest.nii.gz.s08.rh_medial.png,s08,turning_rest,rh,medial
79,s08/tstat01_turning_rest.nii.gz.s08.rh_lateral.png,s08,turning_rest,rh,lateral
80,s08/tstat04_turning_walking.nii.gz.s08.rh_medial.png,s08,turning_walking,rh,medial
81,s08/tstat04_turning_walking.nii.gz.s08.lh_medial.png,s08,turning_walking,lh,medial
82,s08/tstat02_walking_rest.nii.gz.s08.rh_medial.png,s08,walking_rest,rh,medial
83,s08/tstat02_walking_rest.nii.gz.s08.lh_medial.png,s08,walking_rest,lh,medial
84,s08/tstat02_walking_rest.nii.gz.s08.lh_lateral.png,s08,walking_rest,lh,lateral
85,s08/tstat04_turning_walking.nii.gz.s08.rh_lateral.png,s08,turning_walking,rh,lateral
86,s08/SMA_imagine_rest.nii.gz.s08.rh_dorsal.png,s08,imagine_rest,rh,dorsal
87,s08/SMA_imagine_rest.nii.gz.s08.lh_dorsal.png,s08,imagine_rest,lh,dorsal
88,s08/tstat03_imagine_rest.nii.gz.s08.rh_lateral.png,s08,imagine_rest,rh,lateral
89,s08/tstat01_turning_rest.nii.gz.s08.lh_lateral.png,s08,turning_rest,lh,lateral
90,s09/tstat01_turning_rest.nii.gz.s09.lh_lateral.png,s09,turning_rest,lh,lateral
91,s09/tstat04_turning_walking.nii.gz.s09.lh_lateral.png,s09,turning_walking,lh,lateral
92,s09/tstat02_walking_rest.nii.gz.s09.lh_lateral.png,s09,walking_rest,lh,lateral
93,s09/tstat03_imagine_rest.nii.gz.s09.rh_lateral.png,s09,imagine_rest,rh,lateral
94,s09/tstat04_turning_walking.nii.gz.s09.rh_medial.png,s09,turning_walking,rh,medial
95,s09/tstat04_turning_walking.nii.gz.s09.lh_medial.png,s09,turning_walking,lh,medial
96,s09/tstat01_turning_rest.nii.gz.s09.rh_lateral.png,s09,turning_rest,rh,lateral
97,s09/tstat03_imagine_rest.nii.gz.s09.lh_medial.png,s09,imagine_rest,lh,medial
98,s09/tstat01_turning_rest.nii.gz.s09.rh_medial.png,s09,turning_rest,rh,medial
99,s09/tstat03_imagine_rest.nii.gz.s09.rh_medial.png,s09,imagine_rest,rh,medial
100,s09/tstat01_turning_rest.nii.gz.s09.lh_medial.png,s09,turning_rest,lh,medial
101,s09/tstat04_turning_walking.nii.gz.s09.rh_lateral.png,s09,turning_walking,rh,lateral
102,s09/tstat03_imagine_rest.nii.gz.s09.lh_lateral.png,s09,imagine_rest,lh,lateral
103,s09/tstat02_walking_rest.nii.gz.s09.rh_lateral.png,s09,walking_rest,rh,lateral
104,s09/SMA_imagine_rest.nii.gz.s09.lh_dorsal.png,s09,imagine_rest,lh,dorsal
105,s09/SMA_imagine_rest.nii.gz.s09.rh_dorsal.png,s09,imagine_rest,rh,dorsal
106,s09/tstat02_walking_rest.nii.gz.s09.lh_medial.png,s09,walking_rest,lh,medial
107,s09/tstat02_walking_rest.nii.gz.s09.rh_medial.png,s09,walking_rest,rh,medial
108,s10/tstat01_turning_rest.nii.gz.s10.rh_lateral.png,s10,turning_rest,rh,lateral
109,s10/tstat02_walking_rest.nii.gz.s10.lh_medial.png,s10,walking_rest,lh,medial
110,s10/tstat02_walking_rest.nii.gz.s10.rh_medial.png,s10,walking_rest,rh,medial
111,s10/SMA_imagine_rest.nii.gz.s10.rh_dorsal.png,s10,imagine_rest,rh,dorsal
112,s10/SMA_imagine_rest.nii.gz.s10.lh_dorsal.png,s10,imagine_rest,lh,dorsal
113,s10/tstat04_turning_walking.nii.gz.s10.rh_medial.png,s10,turning_walking,rh,medial
114,s10/tstat04_turning_walking.nii.gz.s10.lh_medial.png,s10,turning_walking,lh,medial
115,s10/tstat04_turning_walking.nii.gz.s10.lh_lateral.png,s10,turning_walking,lh,lateral
116,s10/tstat03_imagine_rest.nii.gz.s10.lh_lateral.png,s10,imagine_rest,lh,lateral
117,s10/tstat02_walking_rest.nii.gz.s10.rh_lateral.png,s10,walking_rest,rh,lateral
118,s10/tstat03_imagine_rest.nii.gz.s10.lh_medial.png,s10,imagine_rest,lh,medial
119,s10/tstat01_turning_rest.nii.gz.s10.rh_medial.png,s10,turning_rest,rh,medial
120,s10/tstat03_imagine_rest.nii.gz.s10.rh_medial.png,s10,imagine_rest,rh,medial
121,s10/tstat01_turning_rest.nii.gz.s10.lh_medial.png,s10,turning_rest,lh,medial
122,s10/tstat01_turning_rest.nii.gz.s10.lh_lateral.png,s10,turning_rest,lh,lateral
123,s10/tstat02_walking_rest.nii.gz.s10.lh_lateral.png,s10,walking_rest,lh,lateral
124,s10/tstat03_imagine_rest.nii.gz.s10.rh_lateral.png,s10,imagine_rest,rh,lateral
125,s10/tstat04_turning_walking.nii.gz.s10.rh_lateral.png,s10,turning_walking,rh,lateral
126,s11/tstat04_turning_walking.nii.gz.s11.lh_lateral.png,s11,turning_walking,lh,lateral
127,s11/tstat01_turning_rest.nii.gz.s11.rh_lateral.png,s11,turning_rest,rh,lateral
128,s11/tstat03_imagine_rest.nii.gz.s11.lh_lateral.png,s11,imagine_rest,lh,lateral
129,s11/tstat02_walking_rest.nii.gz.s11.rh_lateral.png,s11,walking_rest,rh,lateral
130,s11/SMA_imagine_rest.nii.gz.s11.lh_dorsal.png,s11,imagine_rest,lh,dorsal
131,s11/SMA_imagine_rest.nii.gz.s11.rh_dorsal.png,s11,imagine_rest,rh,dorsal
132,s11/tstat03_imagine_rest.nii.gz.s11.lh_medial.png,s11,imagine_rest,lh,medial
133,s11/tstat01_turning_rest.nii.gz.s11.lh_lateral.png,s11,turning_rest,lh,lateral
134,s11/tstat01_turning_rest.nii.gz.s11.rh_medial.png,s11,turning_rest,rh,medial
135,s11/tstat03_imagine_rest.nii.gz.s11.rh_medial.png,s11,imagine_rest,rh,medial
136,s11/tstat01_turning_rest.nii.gz.s11.lh_medial.png,s11,turning_rest,lh,medial
137,s11/tstat04_turning_walking.nii.gz.s11.rh_lateral.png,s11,turning_walking,rh,lateral
138,s11/tstat04_turning_walking.nii.gz.s11.lh_medial.png,s11,turning_walking,lh,medial
139,s11/tstat04_turning_walking.nii.gz.s11.rh_medial.png,s11,turning_walking,rh,medial
140,s11/tstat02_walking_rest.nii.gz.s11.lh_lateral.png,s11,walking_rest,lh,lateral
141,s11/tstat02_walking_rest.nii.gz.s11.lh_medial.png,s11,walking_rest,lh,medial
142,s11/tstat02_walking_rest.nii.gz.s11.rh_medial.png,s11,walking_rest,rh,medial
143,s11/tstat03_imagine_rest.nii.gz.s11.rh_lateral.png,s11,imagine_rest,rh,lateral
144,s12/tstat01_turning_rest.nii.gz.s12.rh_lateral.png,s12,turning_rest,rh,lateral
145,s12/tstat04_turning_walking.nii.gz.s12.rh_lateral.png,s12,turning_walking,rh,lateral
146,s12/tstat02_walking_rest.nii.gz.s12.rh_lateral.png,s12,walking_rest,rh,lateral
147,s12/tstat03_imagine_rest.nii.gz.s12.lh_lateral.png,s12,imagine_rest,lh,lateral
148,s12/tstat01_turning_rest.nii.gz.s12.lh_medial.png,s12,turning_rest,lh,medial
149,s12/tstat03_imagine_rest.nii.gz.s12.rh_medial.png,s12,imagine_rest,rh,medial
150,s12/tstat01_turning_rest.nii.gz.s12.rh_medial.png,s12,turning_rest,rh,medial
151,s12/tstat03_imagine_rest.nii.gz.s12.lh_medial.png,s12,imagine_rest,lh,medial
152,s12/tstat01_turning_rest.nii.gz.s12.lh_lateral.png,s12,turning_rest,lh,lateral
153,s12/SMA_imagine_rest.nii.gz.s12.rh_dorsal.png,s12,imagine_rest,rh,dorsal
154,s12/SMA_imagine_rest.nii.gz.s12.lh_dorsal.png,s12,imagine_rest,lh,dorsal
155,s12/tstat02_walking_rest.nii.gz.s12.rh_medial.png,s12,walking_rest,rh,medial
156,s12/tstat04_turning_walking.nii.gz.s12.rh_medial.png,s12,turning_walking,rh,medial
157,s12/tstat02_walking_rest.nii.gz.s12.lh_medial.png,s12,walking_rest,lh,medial
158,s12/tstat04_turning_walking.nii.gz.s12.lh_medial.png,s12,turning_walking,lh,medial
159,s12/tstat03_imagine_rest.nii.gz.s12.rh_lateral.png,s12,imagine_rest,rh,lateral
160,s12/tstat02_walking_rest.nii.gz.s12.lh_lateral.png,s12,walking_rest,lh,lateral
161,s12/tstat04_turning_walking.nii.gz.s12.lh_lateral.png,s12,turning_walking,lh,lateral
